m/z,Intensity
264.42767,508.8
264.65918,966.8
264.90955,425.6
264.9202,664.4
264.92682,359.4
264.92999,1021.3
265.02393,386.2
265.07397,410.5
265.07733,552.9
265.08212,320.5
265.10412,307565.6
265.11719,406.6
265.14107,5198.9
265.17868,7227.2
265.21515,473.9
265.22689,8900.5
265.26248,587.3
265.48996,360.1
265.52808,994.2
265.55377,746.9
265.8978,699.4
266.04475,2600.6
266.09924,557.5
266.10756,20105.5
266.17225,18276.3
266.21081,48125.5
266.30948,876.1
266.41257,693.3
266.47458,352
266.59796,1068.5
266.92581,280.9
266.97583,667.1
267.05336,12576.6
267.12211,157429.3
267.1563,1883
267.15866,359.4
267.19407,4826.5
267.21416,1475.5
267.2426,119800.2
267.26822,380.9
267.39355,709
267.75195,907.7
267.78402,1964.7
267.98819,466.8
268.00307,6928.2
268.03253,604.7
268.03919,435490.4
268.04584,528.9
268.07758,433.8
268.12548,2152.5
268.18579,589.9
268.22656,47026.8
268.23553,872.4
268.24584,2239.6
268.2626,9067.4
268.41089,555.1
268.595,428.4
268.71729,927
268.91595,482.2
268.97986,556.1
268.99642,16895.2
269.01002,2335
269.02713,475.9
269.03943,11729.1
269.04255,4418.3
269.08612,1032.3
269.10645,462.5
269.1289,2024.4
269.13539,15588
269.1726,1162.5
269.20843,88679.2
269.22916,271.7
269.2468,1031.7
269.25809,10013.3
269.29407,1636.8
269.35037,671.3
269.46445,412.6
269.87424,528.9
269.97458,546.4
269.98209,419674.1
270.03683,514
270.05476,5429.9
270.21105,921.8
270.24221,80474.3
270.26059,6206.8
270.26572,1019.7
270.27167,533.9
270.27851,538654.1
270.28522,1039.3
270.31982,806.4
270.33267,496.5
270.51724,633.6
270.59302,941.6
270.65491,450.6
270.67999,415
270.68451,405.7
270.7724,562.4
270.98288,8566.7
270.98602,442.2
271.0484,62080
271.08558,1699.3
271.09381,926.6
271.11634,965.7
271.12282,251858.6
271.12967,432.7
271.16559,352.5
271.18786,4233.9
271.19028,538.3
271.19495,429.4
271.22618,28786.5
271.26279,347
271.27398,242777.8
271.28156,55425.7
271.35034,647.6
271.4227,370.8
271.51581,1172
271.55057,925.6
271.81302,964.5
272.03421,18087.3
272.07038,46755.9
272.09528,457.3
272.10694,1964.3
272.12455,6329.9
272.18497,16402.8
272.22074,1355.6
272.22978,1265.2
272.24966,532.7
272.25778,78506.4
272.27745,8199.4
272.29441,11414
272.36621,664.1
272.44001,1428.4
272.46826,416.7
272.58774,493.3
272.6832,408.1
272.87619,866.7
273.02786,4038.3
273.04193,644.9
273.07639,974.7
273.10208,9847.4
273.10926,14346.5
273.14508,2176.3
273.17953,575.2
273.22976,6458.1
273.26166,475.7
273.29034,491.9
273.34637,499.1
273.4274,400.1
273.57767,959.9
273.68484,507.9
273.82709,1178.8
273.8295,900.3
273.86545,567.7
273.92596,366.3
273.97719,1681.2
274.01385,809.6
274.03345,948.1
274.0499,37750.8
274.08324,3352.4
274.10416,675.9
274.13225,832.6
274.17929,520
274.20112,1047.3
274.24527,1029.5
274.27359,480.1
274.34326,928.9
274.62442,871
274.87537,756.3
275.05069,1254.4
275.05365,434.7
275.08142,2161.5
275.11648,21706.4
275.12485,16764.3
275.22114,2537.6
275.2684,613.3
275.33731,631.3
275.5246,749
275.92343,491.1
276.02875,321.4
276.04439,3051.2
276.10207,3300.9
276.21772,3189.9
276.22932,3940.8
276.241,1075.6
276.2512,41454.9
276.26772,3232.5
276.57236,586.9
276.84406,884.5
276.94614,44553
276.98221,611.7
276.99576,469.4
277.02271,22413.3
277.03982,9092.8
277.05865,1250.3
277.0744,1136.2
277.09598,1785.5
277.10431,32599.3
277.12692,1171.7
277.14063,410.5
277.17947,181411
277.18643,986
277.23699,54397.5
277.30423,771.3
277.33313,655.2
277.80984,788.8
277.90021,1168.6
278.01072,984
278.02359,8768.7
278.07587,412.7
278.07974,555
278.14368,875.8
278.18302,7092.6
278.24511,177583.8
278.49286,777.5
278.59897,308.6
278.98256,29698.8
279.03861,24635.6
279.08279,1128.7
279.09898,2879.5
279.11902,413.7
279.15835,63054.8
279.19171,675.1
279.19443,1860.1
279.22977,360.2
279.24849,10004.8
279.51309,420.1
279.70334,616.6
279.96626,4047.5
280.0241,4888.6
280.03024,484
280.03914,5945.4
280.06024,669.7
280.09424,428.4
280.16226,647.9
280.18555,918.4
280.18854,489.5
280.21887,996.5
280.24921,570
280.25974,896.3
280.26279,1377.2
280.32809,483.4
280.40836,490.2
