m/z,Intensity
199.60667,2096.3
199.71452,2562.9
199.83817,2730.4
199.87305,2062.2
199.9892,2468.9
200.03415,2411
200.10664,33384.1
200.16417,2570.8
200.17027,4385.2
200.20054,1501349.9
200.67638,2618
201.20387,154014.1
201.30222,4484.4
201.33112,4312.2
201.95244,2533.6
202.07936,2691.4
202.17979,685619.9
202.18393,2373.9
202.2162,1280016.5
202.48991,2363.9
202.8549,1853
203.00017,54113.6
203.01331,3052.6
203.0395,4354.5
203.05452,2948.5
203.18322,25397.1
203.21957,95888.6
203.82513,1961
204.12297,1999.7
204.40355,3159
204.99951,14730.7
205.0555,5120.5
205.06206,216544
205.57327,4284.4
205.86928,2212.5
205.98743,2507.2
205.99795,19988.8
206.02378,40538
206.06534,2643.8
206.57059,2451.8
206.74084,4722.9
206.92929,2056.2
206.99016,2746.4
206.9947,1228116.1
207.0607,2462.8
207.07103,236746
207.49184,2427.9
207.99805,14475.7
208.30287,4500
208.77901,1728.9
208.98448,2592.9
208.99501,227564.6
209.0103,14754.7
209.0329,885517.8
209.06866,3973.1
209.15283,2163.9
209.84315,2138.2
210.03648,12857
210.28647,4846.2
210.39415,2348.4
210.99059,45387.7
211.01053,2804.8
211.02093,61655
211.38499,6035.6
211.71397,2609.5
211.83932,2976.4
212.02405,4351.8
212.20538,2279
212.27446,2440.1
212.91295,2509.6
213.0262,8072.4
213.11797,2175.6
213.30775,2304.7
214.17969,81217.1
214.21651,2004.6
214.72656,2578.1
214.98875,4957.7
215.1333,2176.3
215.63855,2178.9
216.19548,1060228.3
216.61005,2706
216.91612,2377.6
216.98573,2971.9
217.19099,3270.6
217.19881,78835.5
217.73268,2211.5
218.03291,4576.1
218.21113,25808.3
218.40556,2859.2
218.49538,2860.6
218.68036,5276.8
218.98056,2873.7
218.99806,1950.4
219.01722,554638.6
219.23183,3069.4
219.6012,2665.8
219.7338,3527.6
220.0029,53422.2
220.02037,5460.4
220.1822,14132.9
220.19566,2492.8
220.37166,2331.3
221.03285,235909
221.08844,2084.9
221.15291,2552.8
221.36955,3026
221.75966,2436
221.89229,1929.8
222.1991,2412.6
222.63852,2543.3
222.66411,2400.1
223.0485,556197.7
223.07166,2331.6
223.0963,2001.3
223.59679,3551.7
224.00804,5729.7
224.05225,5756.6
224.19812,2620.2
224.21382,2525.2
224.43048,2283.1
224.5795,4079.9
224.95694,2991
225.00534,11426.3
225.03672,5128.8
225.22356,2233.5
225.29886,3458.6
225.84245,2575.4
226.20341,2581.5
227.00557,69701.5
227.12699,12189.6
227.16286,3888.1
227.51302,2153.5
228.19562,2654.7
228.23177,20063.3
228.47287,4782.4
229.00106,25256.1
229.12627,2047.7
230.13507,3123.1
230.34901,1745.1
230.88283,2003.8
230.94281,2923.1
230.96013,2194.9
231.09618,2420.2
231.20119,2369.3
231.76131,3277.2
231.86938,3041.2
232.94069,1805
233.13184,2076.2
233.28363,3200.9
233.29562,2398.6
233.29843,2579.5
233.38132,5028.5
234.00545,2301.6
234.01857,120163.7
234.02386,2590.4
234.10001,2342.7
234.7935,3847.8
234.89021,2389.6
234.98952,150709.6
235.06576,34130.4
235.16589,2567
235.40785,4701.7
235.42767,2508.2
236.02335,1880.6
236.0439,2285.3
236.11256,2344.3
236.44766,2634.8
236.7083,1750
237.00513,56438.8
237.02243,2279.6
237.02771,913014.6
237.24271,5215.9
237.93922,2463.8
238.00806,2188
238.01289,5338.4
238.0257,2161.7
238.50078,1808.1
238.51144,2965.5
238.65242,2172.3
239.00545,10652.6
239.02076,73289.1
239.04391,2001.3
239.1062,2135.9
239.21487,2287.1
239.81538,2701.4
239.82033,2421.2
239.95744,2549.1
240.03036,2733
240.60638,4430.7
241.02105,170806.5
241.03156,5787.9
241.05894,3575.1
241.06845,2904.7
241.50446,2468.1
241.96271,2102.1
242.24121,2079.8
242.28368,425122.7
242.78381,2574.6
242.86896,3968.8
243.01664,27886.9
243.05148,2335.5
243.1824,31939.5
243.28721,11076.7
243.56903,2082.5
244.15387,149767.4
244.19028,2059.7
244.26277,6878.6
244.38795,2674.1
244.61029,3319.1
244.65173,1896.5
244.73131,2482.4
244.86609,5248.7
244.89772,2503.2
245.1571,2023.6
245.93904,1980.9
246.1823,2489.5
246.53352,2562.4
246.84116,2037.7
246.97736,2206.2
247.20126,14431.5
247.40509,3574.4
248.03827,2735.5
248.22116,2776.3
248.40659,2190
248.58574,3329.9
248.92625,1889.1
249.10933,56492.1
249.13019,2179.4
249.21629,2152.9
