Formula,m/z
Cu1O3N3C6H10,235.00134
Cu1O3N5C4H7,235.9852
Cu1O1N3C9H7,235.98811
Cu1O3N2C8H2,236.93736
Cu1O1N5C7H4,236.96896
Cu1O1N4C8H6,236.98181
Cu1O3N4C5H10,237.0044
Cu1O1N2C10H10,237.00781
Cu1O1N2C10H10,237.00922
Cu1O3N5C4H9,237.99933
Cu1O1N3C9H9,238.00288
Cu1O2N4C7H4,238.96046
Cu1O1N5C7H6,238.98494
Cu1O1N5C7H6,238.98712
Cu1O2N2C9H8,238.98712
Cu1O1N4C8H8,238.99693
Cu1O1N4C8H8,238.99828
Cu1O2N1C10H10,238.99828
Cu1O2N1C10H10,239.00252
Cu1O3N5C4H10,239.00865
Cu1O1N4C8H9,240.00438
Cu1O1N3C10,240.93329
Cu1O2N4C7H6,240.97713
Cu1O3N1C9H8,240.97713
Cu1O2N4C7H6,240.97923
Cu1O3N1C9H8,240.97923
Cu1O1N5C7H8,240.9999
Cu1O1N5C7H8,241.00092
Cu1O2N2C9H10,241.00092
Cu1O1N5C7H8,241.00275
Cu1O2N2C9H10,241.00275
Cu1O1N4C8H10,241.01216
Cu1O1N4C8H10,241.01299
Cu1O1N4C8H10,241.01449
Cu1O1N4C8H10,241.01538
Cu1O3N2C8H7,241.9769
Cu1O2N4C7H7,241.98459
Cu1O2N4C7H7,241.98529
Cu1O3N1C9H9,241.98529
Cu1O3N1C9H9,241.98897
Cu1O2N3C8H9,241.99798
Cu1O1N5C7H9,242.00756
Cu1O1N4C9,242.93431
Cu1O1N4C9,242.935
Cu1O3N5C5H2,242.94579
Cu1O2N5C6H6,242.98198
Cu1O3N2C8H8,242.98198
Cu1O2N4C7H8,242.99313
Cu1O3N1C9H10,242.99313
Cu1O2N4C7H8,242.99384
Cu1O3N1C9H10,242.99384
Cu1O3N1C9H10,242.99714
Cu1O2N3C8H10,243.007
Cu1O1N5C7H10,243.01837
Cu1O3N3C7H7,243.97722
Cu1O2N3C9,244.93003
Cu1O2N5C6H8,244.99765
Cu1O3N2C8H10,244.99765
Cu1O2N4C7H10,245.01077
Cu1O1N3C10H5,245.97043
Cu1O3N5C5H5,245.97043
Cu1O3N3C7H9,245.99289
Cu1O1N5C8H2,246.95599
Cu1O2N2C10H4,246.95599
Cu1O1N4C9H4,246.96804
Cu1O3N5C5H6,246.97701
Cu1O3N4C6H8,246.98977
Cu1O3N3C7H10,247.00116
Cu1O3N3C7H10,247.00374
Cu1O2N5C6H10,247.0103
Cu1O3N5C5H7,247.98503
Cu1O1N3C10H7,247.9873
Cu1O1N5C8H4,248.96897
Cu1O1N4C9H6,248.98177
Cu1O1N4C9H6,248.98323
Cu1O3N4C6H10,249.00429
Cu1O3N4C6H10,249.00543
Cu1O3N5C5H9,249.99724
Cu1O3N5C5H9,249.99932
Cu1O3N5C5H9,250.00093
Cu1O1N3C10H9,250.00316
Cu1O3N4C7,250.92787
Cu1O3N3C8H2,250.93913
Cu1O2N5C7H2,250.94778
Cu1O1N5C8H6,250.98477
Cu1O1N5C8H6,250.98708
Cu1O2N2C10H8,250.98708
Cu1O3N5C5H10,251.00604
Cu1O3N5C5H10,251.00737
Cu1O3N4C7H1,251.93439
Cu1O2N5C7H3,251.95816
Cu1O3N2C9H5,251.95816
Cu1O2N3C9H7,251.98259
Cu1O1N5C8H7,251.99481
Cu1O2N2C10H9,251.99481
Cu1O2N5C7H4,252.96394
Cu1O2N5C7H4,252.96788
Cu1O3N2C9H6,252.96788
Cu1O2N4C8H6,252.97888
Cu1O3N1C10H8,252.97888
Cu1O1N5C8H8,252.99944
Cu1O1N5C8H8,253.00072
Cu1O1N5C8H8,253.00281
Cu1O2N2C10H10,253.00281
Cu1O1N4C9H10,253.01239
Cu1O1N4C9H10,253.01393
Cu1O3N3C8H5,253.96028
Cu1O2N3C9H9,253.99809
Cu1O1N5C8H9,254.00759
Cu1O3N3C8H6,254.97066
Cu1O2N5C7H6,254.98201
Cu1O3N2C9H8,254.98201
Cu1O2N4C8H8,254.993
Cu1O3N1C10H10,254.993
Cu1O2N3C9H10,255.008
Cu1O1N5C8H10,255.01513
Cu1O1N5C8H10,255.01648
Cu1O1N5C8H10,255.01844
Cu1O3N3C8H7,255.97718
Cu1O2N5C7H7,255.9904
Cu1O3N2C9H9,255.9904
Cu1O1N5C9,256.93829
Cu1O3N4C7H6,256.97151
Cu1O2N5C7H8,256.99758
Cu1O3N2C9H10,256.99758
Cu1O2N4C8H10,257.00934
Cu1O2N4C8H10,257.01163
Cu1O1N4C10H3,257.9592
Cu1O3N3C8H9,257.99285
Cu1O2N5C7H9,258.00261
Cu1O2N5C7H9,258.00464
Cu1O1N4C10H4,258.9668
