m/z,Intensity,Formula,Neutral Mass
199.96176,22.1,Cu1O4N4C1H5,199.96067
199.96999,17.0,Cu1O3N6H5,199.9719
200.91472,21.4,Cu1O4N1C5,200.91231
200.93564,9.7,Cu1O2N5C3,200.93477
200.93564,9.7,Cu1O3N2C5H2,200.93613
200.93564,9.7,Cu1O6N1C2H4,200.93345
200.93681,19.3,Cu1O2N5C3,200.93477
200.93681,19.3,Cu1O3N2C5H2,200.93613
200.94543,1534.3,Cu1O1N7C2,200.946
200.94543,1534.3,Cu1O2N4C4H2,200.94736
200.94543,1534.3,Cu1O5N3C1H4,200.94468
200.95143,28.8,Cu1O4N5H4,200.95591
200.97128,19.0,Cu1O1N5C4H4,200.97118
201.84801,45.6,Cu2O3N2,201.85007
201.9063,8.5,Cu1O7N1C1H1,201.90487
201.91504,21.0,Cu1O4N1C5H1,201.92014
201.91504,21.0,Cu1O6N3H1,201.9161
201.97942,11.0,Cu1O1N5C4H5,201.97901
202.85344,11.4,Cu2O3N2H1,202.8579
202.87122,17.1,Cu2O3N1C1H3,202.87049
202.92902,23.1,Cu1O3N4C3,202.92661
202.92902,23.1,Cu1O4N1C5H2,202.92797
202.93796,16.5,Cu1O2N6C2,202.93784
202.93796,16.5,Cu1O3N3C4H2,202.9392
202.93796,16.5,Cu1O6N2C1H4,202.93652
202.93985,40.5,Cu1O2N6C2,202.93784
202.93985,40.5,Cu1O3N3C4H2,202.9392
202.94038,36.9,Cu1O2N6C2,202.93784
202.94038,36.9,Cu1O3N3C4H2,202.9392
202.94173,53102.0,Cu1O3N3C4H2,202.9392
202.94335,47.2,Cu1O5N4H4,202.94775
202.94393,48.5,Cu1O1N8C1,202.94907
202.94393,48.5,Cu1O5N4H4,202.94775
202.9455,22.9,Cu1O1N8C1,202.94907
202.9455,22.9,Cu1O2N5C3H2,202.95043
202.9455,22.9,Cu1O5N4H4,202.94775
202.96049,20.5,Cu1O1N7C2H2,202.96166
202.96049,20.5,Cu1O2N4C4H4,202.96302
202.97421,8.5,Cu1O1N6C3H4,202.97425
203.85655,15.0,Cu2O1N1C4,203.85718
203.8618,24.0,Cu2O3N2H2,203.86573
203.91991,557.2,Cu1O4N2C4H1,203.92321
203.91991,557.2,Cu1O7N1C1H3,203.92053
203.92662,21.6,Cu1O6N3H3,203.93176
203.92755,22.4,Cu1O6N3H3,203.93176
203.94509,898.3,Cu1O2N6C2H1,203.94567
203.94509,898.3,Cu1O3N3C4H3,203.94703
203.94509,898.3,Cu1O6N2C1H5,203.94435
203.95044,19.1,Cu1O5N4H5,203.95558
204.87013,10.0,Cu2O3N2H3,204.87356
204.87613,18.0,Cu2O3N2H3,204.87356
204.91957,19.9,Cu1O4N3C3,204.91845
204.9459,121.0,Cu1O4N1C5H4,204.94363
204.96233,23.2,Cu1O1N8C1H2,204.96473
204.96233,23.2,Cu1O2N5C3H4,204.96609
204.97356,20.4,Cu1O1N7C2H4,204.97732
